S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
67,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(90.9),100.0,94.9,94.4,Andaman & Nicobar Islands
68,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(5.7),0.0,3.2,5.6,Andaman & Nicobar Islands
69,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,5.1,5.6,5.3,Andaman & Nicobar Islands
70,70.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%) ,*,*,65,65,Andaman & Nicobar Islands
71,71.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*,44.1,8.3,Andaman & Nicobar Islands
72,72.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,83.3,53.5,Andaman & Nicobar Islands
73,73.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,3.1,1.7,1.5,Andaman & Nicobar Islands
74,74.,Treatment of Childhood Diseases (children under age 5 years),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(81.0),64.6,72.7,75.8,Andaman & Nicobar Islands
75,75.,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),45.8,47.8,46.9,41.9,Andaman & Nicobar Islands
76,76.,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),*,*,73.3,66.8,Andaman & Nicobar Islands
78,78.,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),(24.3),12.4,18.5,13.5,Andaman & Nicobar Islands
80,80.,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),(27.7),10.6,19.5,14.2,Andaman & Nicobar Islands
81,81.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age) (%),18.2,26.4,22.5,23.3,Andaman & Nicobar Islands
82,82.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height) (%),12.8,19.0,16.0,18.9,Andaman & Nicobar Islands
83,83.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height) (%),5.1,4.6,4.8,7.5,Andaman & Nicobar Islands
84,84.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age) (%),15.1,31.1,23.7,21.6,Andaman & Nicobar Islands
85,85.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height) (%),5.7,5.2,5.4,3.0,Andaman & Nicobar Islands
86,86.,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),11.3,8.2,9.4,13.1,Andaman & Nicobar Islands
87,87.,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),7.8,1.6,4.0,8.7,Andaman & Nicobar Islands
