S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
2723,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,10.8,8.1,8.9,na,Tripura
2724,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,21.2,18.5,19.3,na,Tripura
2725,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,13.3,10.1,11.0,na,Tripura
2726,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,6.5,4.4,5.0,na,Tripura
2727,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,26.4,18.6,20.9,na,Tripura
2728,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,15.4,12.5,13.4,na,Tripura
2729,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,6.2,4.8,5.2,na,Tripura
2730,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,27.3,20.6,22.7,na,Tripura
2731,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,1.2,0.4,0.7,na,Tripura
2732,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,0.8,0.2,0.4,na,Tripura
2733,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,0.8,0.5,0.6,na,Tripura
2734,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,0.0,0.3,0.2,na,Tripura
2735,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge of HIV/AIDS (%),19.7,13.7,15.4,28.0,Tripura
2736,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge of HIV/AIDS (%),40.6,25.6,30.0,36.8,Tripura
2737,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),62.8,58.3,59.5,57.6,Tripura
2738,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.4,83.6,85.3,81.5,Tripura
2739,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),94.9,89.5,90.9,91.7,Tripura
2740,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),15.8,25.9,23.1,26.3,Tripura
2741,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),16.8,17.3,17.2,57.3,Tripura
2742,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),74.9,77.7,76.9,59.2,Tripura
2743,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),66.2,48.0,53.1,43.9,Tripura
2744,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),83.4,63.8,68.8,43.5,Tripura
2745,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),14.0,23.4,20.7,28.1,Tripura
2746,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.1,2.9,2.1,2.3,Tripura
2747,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.5,8.4,7.0,10.2,Tripura
2748,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),46.1,52.2,50.4,na,Tripura
2749,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),51.6,59.3,56.9,na,Tripura
2750,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.8,8.4,6.2,na,Tripura
2751,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),26.9,35.9,33.1,na,Tripura
2752,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),84.1,73.3,76.8,74.0,West Bengal
2753,2.,Population and Household Profile,Population below age 15 years (%),20.2,25.1,23.5,25.4,West Bengal
2754,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)","1,016","1,065",1049,1011,West Bengal
2755,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",921,993,973,960,West Bengal
2756,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),98.1,98.3,98.2,96.9,West Bengal
2757,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),88.0,74.6,78.6,na,West Bengal
2758,7.,Population and Household Profile,Population living in households with electricity (%),99.3,96.6,97.5,94.3,West Bengal
2759,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),98.6,96.9,97.5,97.2,West Bengal
2760,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),75.0,64.7,68.0,52.8,West Bengal
2761,10.,Population and Household Profile,Households using clean fuel for cooking (%),80.3,20.5,40.2,27.8,West Bengal
2762,11.,Population and Household Profile,Households using iodized salt (%),97.1,93.2,94.5,94.7,West Bengal
2763,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),25.9,31.0,29.3,33.4,West Bengal
2764,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),20.8,19.9,20.1,na,West Bengal
2765,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),83.4,72.5,76.1,na,West Bengal
2766,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),89.8,77.8,81.6,na,West Bengal
2767,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),47.6,25.9,32.9,26.5,West Bengal
2768,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),51.4,26.9,34.7,33.8,West Bengal
2769,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),48.1,14.0,25.5,na,West Bengal
2770,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),64.6,38.3,46.7,na,West Bengal
2771,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),26.2,48.1,41.6,41.6,West Bengal
2772,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),8.4,25.3,20.0,17.3,West Bengal
2773,22.,Marriage and Fertility,Total fertility rate (children per woman),1.4,1.7,1.6,1.8,West Bengal
2774,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.5,19.6,16.4,18.3,West Bengal
2775,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,51,93,81,90,West Bengal
2776,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),16.1,15.3,15.5,22.0,West Bengal
2777,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),21.0,22.4,22.0,27.5,West Bengal
2778,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),23.0,26.2,25.4,31.8,West Bengal
2779,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),77.5,73.0,74.4,70.9,West Bengal
2780,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),61.0,60.6,60.7,57.0,West Bengal
2781,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),26.8,30.5,29.4,29.3,West Bengal
2782,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.1,0.1,0.1,0.1,West Bengal
2783,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),2.0,2.3,2.2,1.2,West Bengal
2784,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),20.1,20.4,20.3,20.0,West Bengal
2785,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),10.1,5.6,7.0,5.9,West Bengal
2786,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.8,0.7,0.7,0.2,West Bengal
2787,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),5.2,7.8,7.0,7.5,West Bengal
2788,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),2.0,3.4,3.0,3.0,West Bengal
2789,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),16.4,18.1,17.5,12.3,West Bengal
2790,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),54.0,53.4,53.6,49.6,West Bengal
2791,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),74.9,71.8,72.6,54.9,West Bengal
2792,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),81.2,73.8,75.8,76.4,West Bengal
2793,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),96.0,94.2,94.6,95.4,West Bengal
2794,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.4,61.8,62.5,28.0,West Bengal
2795,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.6,29.7,30.8,6.0,West Bengal
2796,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,99.1,98.4,97.4,West Bengal
2797,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.1,65.7,68.0,61.1,West Bengal
2798,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,675","2,686",2683,7919,West Bengal
2799,48.,Maternity Care (for last birth in the 5 years before the survey),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,10.4,8.8,4.6,West Bengal
2800,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.1,75.9,76.8,na,West Bengal
2801,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),92.3,91.6,91.7,75.2,West Bengal
2802,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),62.8,75.8,72.4,56.6,West Bengal
2803,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),2.7,2.6,2.6,6.8,West Bengal
2804,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),95.2,93.7,94.1,81.6,West Bengal
2805,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),43.5,28.6,32.6,23.8,West Bengal
2806,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),80.2,84.4,82.7,70.9,West Bengal
2807,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),31.7,20.3,22.9,18.8,West Bengal
2808,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.6,89.3,87.8,84.4,West Bengal
2809,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.1,91.8,90.8,92.5,West Bengal
2810,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),97.5,99.0,98.6,97.5,West Bengal
2811,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),85.3,92.7,90.8,87.9,West Bengal
2812,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.1,95.6,95.0,92.7,West Bengal
2813,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.4,95.1,94.4,92.8,West Bengal
2814,63.,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.8,47.5,44.4,na,West Bengal
2815,64.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.0,1.4,1.8,na,West Bengal
2816,65.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.3,92.6,92.0,86.4,West Bengal
2817,66.,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),66.0,69.3,68.4,75.0,West Bengal
2818,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.2,98.5,96.3,96.6,West Bengal
2819,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),8.7,0.3,2.5,3.2,West Bengal
2820,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.9,6.7,6.5,5.9,West Bengal
2821,70.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%) ,76.9,74.8,75.3,64.7,West Bengal
2822,71.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),36.0,35.9,36.0,20.8,West Bengal
2823,72.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),78.1,74.3,75.2,74.7,West Bengal
2824,73.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1,3.1,2.8,3.3,West Bengal
2825,74.,Treatment of Childhood Diseases (children under age 5 years),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.3,69.5,71.3,73.5,West Bengal
2826,75.,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),60.7,59.0,59.4,47.4,West Bengal
2827,76.,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),51.2,54.0,53.3,52.3,West Bengal
2828,77.,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),75.6,65.5,67.8,52.0,West Bengal
2829,78.,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),25.4,23.5,24.0,19.1,West Bengal
2830,79.,Child Feeding Practices and Nutritional Status of Children,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(19.5),16.0,17.0,25.7,West Bengal
2831,80.,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),24.9,22.9,23.4,19.6,West Bengal
2832,81.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age) (%),32.1,34.4,33.8,32.5,West Bengal
2833,82.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height) (%),20.2,20.4,20.3,20.3,West Bengal
2834,83.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height) (%),7.9,6.9,7.1,6.5,West Bengal
2835,84.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age) (%),28.7,33.5,32.2,31.6,West Bengal
2836,85.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height) (%),6.0,3.6,4.3,2.1,West Bengal
2837,86.,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),9.5,17.4,14.8,21.3,West Bengal
2838,87.,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),11.5,16.8,15.1,19.9,West Bengal
2839,88.,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2) (%),27.9,20.3,22.7,19.9,West Bengal
2840,89.,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),20.0,14.5,16.2,14.2,West Bengal
2841,90.,Nutritional Status of Adults (age 15-49 years),Women who have high risk waist-to-hip ratio (≥0.85) (%),80.1,72.1,74.7,na,West Bengal
2842,91.,Nutritional Status of Adults (age 15-49 years),Men who have high risk waist-to-hip ratio (≥0.90) (%),60.5,55.7,57.2,na,West Bengal
2843,92.,Anaemia among Children and Adults,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.0,71.3,69.0,54.2,West Bengal
2844,93.,Anaemia among Children and Adults,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),65.2,74.8,71.7,62.8,West Bengal
2845,94.,Anaemia among Children and Adults,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),60.3,63.0,62.3,53.6,West Bengal
2846,95.,Anaemia among Children and Adults,All women age 15-49 years who are anaemic (%),65.1,74.4,71.4,62.5,West Bengal
2847,96.,Anaemia among Children and Adults,All women age 15-19 years who are anaemic (%),64.7,73.2,70.8,62.2,West Bengal
2848,97.,Anaemia among Children and Adults,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),30.9,42.4,38.9,30.3,West Bengal
2849,98.,Anaemia among Children and Adults,Men age 15-19 years who are anaemic (<13.0 g/dl) (%),27.6,42.8,38.7,31.7,West Bengal
2850,99.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high (141-160 mg/dl) (%) - Women,9.7,8.5,8.9,na,West Bengal
2851,100.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - very high (>160 mg/dl) (%) - Women,8.6,7.2,7.7,na,West Bengal
2852,101.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,19.4,16.5,17.5,na,West Bengal
2853,102.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high (141-160 mg/dl) (%) - Men,11.2,10.6,10.8,na,West Bengal
2854,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,10.6,9.0,9.5,na,West Bengal
2855,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,23.1,20.4,21.3,na,West Bengal
2856,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,12.3,11.1,11.5,na,West Bengal
2857,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,4.9,5.5,5.3,na,West Bengal
2858,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,21.5,19.9,20.5,na,West Bengal
2859,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,14.5,12.3,13.1,na,West Bengal
2860,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,4.2,4.2,4.2,na,West Bengal
2861,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,22.3,19.0,20.1,na,West Bengal
2862,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,0.1,0.2,0.2,na,West Bengal
2863,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,0.2,0.1,0.2,na,West Bengal
2864,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,0.2,0.1,0.2,na,West Bengal
2865,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,0.4,0.8,0.7,na,West Bengal
2866,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge of HIV/AIDS (%),30.8,12.3,18.5,18.6,West Bengal
2867,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge of HIV/AIDS (%),21.3,12.8,15.5,25.9,West Bengal
2868,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),73.3,53.8,60.4,53.9,West Bengal
2869,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.8,68.4,72.7,82.6,West Bengal
2870,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),96.1,85.8,88.9,89.9,West Bengal
2871,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),20.2,20.2,20.2,22.8,West Bengal
2872,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),24.7,22.5,23.2,23.8,West Bengal
2873,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),82.9,73.2,76.5,43.5,West Bengal
2874,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),71.9,39.1,50.1,41.8,West Bengal
2875,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.2,79.7,83.0,54.9,West Bengal
2876,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.9,28.7,27.0,33.1,West Bengal
2877,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.3,4.0,3.5,5.0,West Bengal
2878,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),6.7,10.9,9.7,8.9,West Bengal
2879,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),8.0,12.3,10.8,na,West Bengal
2880,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),44.7,49.9,48.1,na,West Bengal
2881,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.8,1.3,1.1,na,West Bengal
2882,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),18.9,17.7,18.1,na,West Bengal
2883,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),82.5,66.8,71.8,68.8,India
2884,2.,Population and Household Profile,Population below age 15 years (%),23.1,28.1,26.5,28.6,India
2885,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",985,"1,037","1,020",991,India
2886,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",924,931,929,919,India
2887,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),93.3,87.5,89.1,79.7,India
2888,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),83.2,65.8,70.8,na,India
2889,7.,Population and Household Profile,Population living in households with electricity (%),99.1,95.7,96.8,88.0,India
2890,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),98.7,94.6,95.9,94.4,India
2891,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),81.5,64.9,70.2,48.5,India
2892,10.,Population and Household Profile,Households using clean fuel for cooking (%),89.7,43.2,58.6,43.8,India
2893,11.,Population and Household Profile,Households using iodized salt (%),96.9,93.0,94.3,93.1,India
2894,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),38.1,42.4,41.0,28.7,India
2895,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),18.1,12.0,13.6,na,India
2896,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),83.0,65.9,71.5,na,India
2897,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),89.6,81.5,84.4,na,India
2898,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),56.3,33.7,41.0,35.7,India
2899,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),62.1,43.7,50.2,47.1,India
2900,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),51.8,24.6,33.3,na,India
2901,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),72.5,48.7,57.1,na,India
2902,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),14.7,27.0,23.3,26.8,India
2903,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),11.3,21.1,17.7,20.3,India
2904,22.,Marriage and Fertility,Total fertility rate (children per woman),1.6,2.1,2.0,2.2,India
2905,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,7.9,6.8,7.9,India
2906,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,27,49,43,51,India
2907,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),18.0,27.5,24.9,29.5,India
2908,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),26.6,38.4,35.2,40.7,India
2909,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),31.5,45.7,41.9,49.7,India
2910,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),69.3,65.6,66.7,53.5,India
2911,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),58.5,55.5,56.5,47.8,India
2912,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),36.3,38.7,37.9,36.0,India
2913,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.2,0.3,0.3,0.3,India
2914,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),2.7,1.8,2.1,1.5,India
2915,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),4.4,5.4,5.1,4.1,India
2916,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),13.6,7.6,9.5,5.6,India
2917,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.4,0.6,0.6,0.2,India
2918,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),8.4,9.9,9.4,12.9,India
2919,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),3.6,4.3,4.0,5.7,India
